"success","task","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","pixels_per_unit","itrial","iblock","leftDots","rightDots","difference","selected_side","confidence_value","left_confidence","right_confidence","correct","threshold","block_num","advice_direction","block","trial","trialid","dotsLeft","dotsRight","dotsDiff","selectedSide_first","confidence_first","correct_1","rt_1","adviceCond","adviceChoice","adviceDir","selectedSide_second","confidence_second","adviceCorrect","correct_2","rt_2","attention_check_correct","target_button","top_prompt","bottom_prompt","top_response","bottom_response","question_order"
"","consolidated-trial-data","consolidated-trial-data","342","2455813","0.0-104.0","null","consolidated-trial-data","null","","","","","","","","","","","","","","","2","3","33","300","259","41","left","86","true","1557.2000000029802","1","yes","left","left","97.25","true","true","1635.6000000089407","","","","","","",""
"","fixation","html-keyboard-response","343","2457232","0.0-105.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","344","2457750","0.0-105.0-1.0","null","[Dot display: left=259, right=300, diff=41]","null","","-1","-1","259","300","41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","345","2459651","0.0-105.0-2.0","1899.5999999940395","Confidence judgement (first response)","","","-1","-1","","","","right","71.5","50","71.5","true","40","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","forced_advice_display","html-button-response","346","2460770","0.0-105.0-4.0-0.0","1118","forcedAdvice","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","show_advice","html-keyboard-response","347","2461573","0.0-105.0-4.0-1.0","null","[advice: left]","null","","-1","-1","","","","","","","","","","","left","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_second","html-keyboard-response","348","2463139","0.0-105.0-6.0","1564.2999999970198","Confidence judgment (second response)","","","-1","-1","","","","left","91.75","91.75","50","false","40","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","349","2463142","0.0-106.0","null","consolidated-trial-data","null","","","","","","","","","","","","","","","2","4","34","259","300","41","right","71.5","true","1899.5999999940395","2","yes","left","left","91.75","false","false","1564.2999999970198","","","","","","",""
"","fixation","html-keyboard-response","350","2464568","0.0-107.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","351","2465073","0.0-107.0-1.0","null","[Dot display: left=260, right=300, diff=40]","null","","-1","-1","260","300","40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","352","2466433","0.0-107.0-2.0","1357.2999999970198","Confidence judgement (first response)","","","-1","-1","","","","left","77.25","77.25","50","false","42","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","forced_advice_display","html-button-response","353","2467710","0.0-107.0-4.0-0.0","1276","forcedAdvice","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","show_advice","html-keyboard-response","354","2468512","0.0-107.0-4.0-1.0","null","[advice: right]","null","","-1","-1","","","","","","","","","","","right","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_second","html-keyboard-response","355","2469796","0.0-107.0-6.0","1282.0999999940395","Confidence judgment (second response)","","","-1","-1","","","","right","91.25","50","91.25","true","42","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","356","2469810","0.0-108.0","null","consolidated-trial-data","null","","","","","","","","","","","","","","","2","5","35","260","300","40","left","77.25","false","1357.2999999970198","2","yes","right","right","91.25","true","true","1282.0999999940395","","","","","","",""
"","fixation","html-keyboard-response","357","2471217","0.0-109.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","358","2471725","0.0-109.0-1.0","null","[Dot display: left=258, right=300, diff=42]","null","","-1","-1","258","300","42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","359","2473849","0.0-109.0-2.0","2123.0999999940395","Confidence judgement (first response)","","","-1","-1","","","","right","60.5","50","60.5","true","41","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","no_advice_display","html-button-response","360","2474714","0.0-109.0-5.0-0.0","863","noAdvice","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","blank_screen","html-keyboard-response","361","2475522","0.0-109.0-5.0-1.0","null","blank","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_second","html-keyboard-response","362","2476193","0.0-109.0-6.0","670.1000000089407","Confidence judgment (second response)","","","-1","-1","","","","right","60.5","50","60.5","true","41","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","363","2476210","0.0-110.0","null","consolidated-trial-data","null","","","","","","","","","","","","","","","2","6","36","258","300","42","right","60.5","true","2123.0999999940395","3","yes","right","right","60.5","true","true","670.1000000089407","","","","","","",""
"","fixation","html-keyboard-response","364","2477494","0.0-111.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","365","2478010","0.0-111.0-1.0","null","[Dot display: left=259, right=300, diff=41]","null","","-1","-1","259","300","41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","366","2479638","0.0-111.0-2.0","1625.7999999970198","Confidence judgement (first response)","","","-1","-1","","","","right","70.25","50","70.25","true","41","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","advice_choice","html-button-response","367","2481123","0.0-111.0-3.0-0.0","1484","[advice choice Y,N]","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","show_advice","html-keyboard-response","368","2481925","0.0-111.0-3.0-1.0-0.0","null","[advice: right]","null","","-1","-1","","","","","","","","","","","right","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_second","html-keyboard-response","369","2483260","0.0-111.0-6.0","1333.1000000089407","Confidence judgment (second response)","","","-1","-1","","","","right","97.75","50","97.75","true","41","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","370","2483262","0.0-112.0","null","consolidated-trial-data","null","","","","","","","","","","","","","","","2","7","37","259","300","41","right","70.25","true","1625.7999999970198","1","yes","right","right","97.75","true","true","1333.1000000089407","","","","","","",""
"","fixation","html-keyboard-response","371","2484554","0.0-113.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","372","2485060","0.0-113.0-1.0","null","[Dot display: left=300, right=259, diff=41]","null","","-1","-1","300","259","41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","373","2487057","0.0-113.0-2.0","1995.4000000059605","Confidence judgement (first response)","","","-1","-1","","","","left","88.75","88.75","50","true","41","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","no_advice_display","html-button-response","374","2488103","0.0-113.0-5.0-0.0","1044","noAdvice","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","blank_screen","html-keyboard-response","375","2488904","0.0-113.0-5.0-1.0","null","blank","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_second","html-keyboard-response","376","2489545","0.0-113.0-6.0","639.2999999970198","Confidence judgment (second response)","","","-1","-1","","","","left","88.75","88.75","50","true","41","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","377","2489547","0.0-114.0","null","consolidated-trial-data","null","","","","","","","","","","","","","","","2","8","38","300","259","41","left","88.75","true","1995.4000000059605","3","yes","right","left","88.75","false","true","639.2999999970198","","","","","","",""
"","fixation","html-keyboard-response","378","2490926","0.0-115.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","379","2491435","0.0-115.0-1.0","null","[Dot display: left=300, right=259, diff=41]","null","","-1","-1","300","259","41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","380","2493027","0.0-115.0-2.0","1590","Confidence judgement (first response)","","","-1","-1","","","","left","85","85","50","true","41","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","advice_choice","html-button-response","381","2494249","0.0-115.0-3.0-0.0","1220","[advice choice Y,N]","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","show_advice","html-keyboard-response","382","2495060","0.0-115.0-3.0-1.0-0.0","null","[advice: left]","null","","-1","-1","","","","","","","","","","","left","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_second","html-keyboard-response","383","2496741","0.0-115.0-6.0","1679.5","Confidence judgment (second response)","","","-1","-1","","","","left","93.75","93.75","50","true","41","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","384","2496743","0.0-116.0","null","consolidated-trial-data","null","","","","","","","","","","","","","","","2","9","39","300","259","41","left","85","true","1590","1","yes","left","left","93.75","true","true","1679.5","","","","","","",""
"","fixation","html-keyboard-response","385","2498222","0.0-117.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","386","2498734","0.0-117.0-1.0","null","[Dot display: left=259, right=300, diff=41]","null","","-1","-1","259","300","41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","387","2500560","0.0-117.0-2.0","1824.4000000059605","Confidence judgement (first response)","","","-1","-1","","","","right","80.25","50","80.25","true","40","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","no_advice_display","html-button-response","388","2501518","0.0-117.0-5.0-0.0","957","noAdvice","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","blank_screen","html-keyboard-response","389","2502325","0.0-117.0-5.0-1.0","null","blank","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_second","html-keyboard-response","390","2503843","0.0-117.0-6.0","1515.7000000029802","Confidence judgment (second response)","","","-1","-1","","","","right","80.25","50","80.25","true","40","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","391","2503845","0.0-118.0","null","consolidated-trial-data","null","","","","","","","","","","","","","","","2","10","40","259","300","41","right","80.25","true","1824.4000000059605","3","yes","left","right","80.25","false","true","1515.7000000029802","","","","","","",""
"","fixation","html-keyboard-response","392","2505343","0.0-119.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","393","2505850","0.0-119.0-1.0","null","[Dot display: left=260, right=300, diff=40]","null","","-1","-1","260","300","40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","394","2507398","0.0-119.0-2.0","1546.2000000029802","Confidence judgement (first response)","","","-1","-1","","","","left","87","87","50","false","41","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","no_advice_display","html-button-response","395","2508257","0.0-119.0-5.0-0.0","858","noAdvice","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","blank_screen","html-keyboard-response","396","2509073","0.0-119.0-5.0-1.0","null","blank","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_second","html-keyboard-response","397","2510072","0.0-119.0-6.0","997.2000000029802","Confidence judgment (second response)","","","-1","-1","","","","left","87","87","50","false","41","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","398","2510077","0.0-120.0","null","consolidated-trial-data","null","","","","","","","","","","","","","","","2","11","41","260","300","40","left","87","false","1546.2000000029802","3","yes","left","left","87","false","false","997.2000000029802","","","","","","",""
"","fixation","html-keyboard-response","399","2511440","0.0-121.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","400","2511951","0.0-121.0-1.0","null","[Dot display: left=300, right=259, diff=41]","null","","-1","-1","300","259","41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","401","2513350","0.0-121.0-2.0","1396.7999999970198","Confidence judgement (first response)","","","-1","-1","","","","left","81.75","81.75","50","true","41","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","forced_advice_display","html-button-response","402","2514126","0.0-121.0-4.0-0.0","775","forcedAdvice","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","show_advice","html-keyboard-response","403","2514929","0.0-121.0-4.0-1.0","null","[advice: left]","null","","-1","-1","","","","","","","","","","","left","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_second","html-keyboard-response","404","2517049","0.0-121.0-6.0","2118.4000000059605","Confidence judgment (second response)","","","-1","-1","","","","left","93.25","93.25","50","true","41","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","405","2517050","0.0-122.0","null","consolidated-trial-data","null","","","","","","","","","","","","","","","2","12","42","300","259","41","left","81.75","true","1396.7999999970198","2","yes","left","left","93.25","true","true","2118.4000000059605","","","","","","",""
"","fixation","html-keyboard-response","406","2518449","0.0-123.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","407","2518969","0.0-123.0-1.0","null","[Dot display: left=259, right=300, diff=41]","null","","-1","-1","259","300","41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","408","2520472","0.0-123.0-2.0","1502","Confidence judgement (first response)","","","-1","-1","","","","right","71.5","50","71.5","true","41","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","forced_advice_display","html-button-response","409","2521276","0.0-123.0-4.0-0.0","802","forcedAdvice","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","show_advice","html-keyboard-response","410","2522079","0.0-123.0-4.0-1.0","null","[advice: right]","null","","-1","-1","","","","","","","","","","","right","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_second","html-keyboard-response","411","2523781","0.0-123.0-6.0","1700.5","Confidence judgment (second response)","","","-1","-1","","","","right","94.5","50","94.5","true","41","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","412","2523795","0.0-124.0","null","consolidated-trial-data","null","","","","","","","","","","","","","","","2","13","43","259","300","41","right","71.5","true","1502","2","yes","right","right","94.5","true","true","1700.5","","","","","","",""
"","fixation","html-keyboard-response","413","2525074","0.0-125.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","414","2525580","0.0-125.0-1.0","null","[Dot display: left=259, right=300, diff=41]","null","","-1","-1","259","300","41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","415","2527058","0.0-125.0-2.0","1476.3999999910593","Confidence judgement (first response)","","","-1","-1","","","","left","87.5","87.5","50","false","42","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","no_advice_display","html-button-response","416","2527864","0.0-125.0-5.0-0.0","805","noAdvice","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","blank_screen","html-keyboard-response","417","2528674","0.0-125.0-5.0-1.0","null","blank","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_second","html-keyboard-response","418","2529710","0.0-125.0-6.0","1034.2000000029802","Confidence judgment (second response)","","","-1","-1","","","","left","87.5","87.5","50","false","42","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","419","2529712","0.0-126.0","null","consolidated-trial-data","null","","","","","","","","","","","","","","","2","14","44","259","300","41","left","87.5","false","1476.3999999910593","3","yes","right","left","87.5","true","false","1034.2000000029802","","","","","","",""
"","block_message","html-button-response","420","2629376","0.0-127.0","99662","block message","0","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","421","2630792","0.0-128.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","422","2631298","0.0-128.0-1.0","null","[Dot display: left=300, right=258, diff=42]","null","","-1","-1","300","258","42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","423","2632790","0.0-128.0-2.0","1489.7999999970198","Confidence judgement (first response)","","","-1","-1","","","","right","79.5","50","79.5","false","43","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","advice_choice","html-button-response","424","2633710","0.0-128.0-3.0-0.0","919","[advice choice Y,N]","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","show_advice","html-keyboard-response","425","2634525","0.0-128.0-3.0-1.0-0.0","null","[advice: left]","null","","-1","-1","","","","","","","","","","","left","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_second","html-keyboard-response","426","2636350","0.0-128.0-6.0","1823.1000000089407","Confidence judgment (second response)","","","-1","-1","","","","left","95.5","95.5","50","true","43","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","427","2636352","0.0-129.0","null","consolidated-trial-data","null","","","","","","","","","","","","","","","3","0","45","300","258","42","right","79.5","false","1489.7999999970198","1","yes","left","left","95.5","true","true","1823.1000000089407","","","","","","",""
"","fixation","html-keyboard-response","428","2637748","0.0-130.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","429","2638254","0.0-130.0-1.0","null","[Dot display: left=300, right=257, diff=43]","null","","-1","-1","300","257","43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","430","2640031","0.0-130.0-2.0","1776.2000000029802","Confidence judgement (first response)","","","-1","-1","","","","left","87.5","87.5","50","true","43","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","advice_choice","html-button-response","431","2641046","0.0-130.0-3.0-0.0","1014","[advice choice Y,N]","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","show_advice","html-keyboard-response","432","2641862","0.0-130.0-3.0-1.0-0.0","null","[advice: left]","null","","-1","-1","","","","","","","","","","","left","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_second","html-keyboard-response","433","2643493","0.0-130.0-6.0","1629.199999988079","Confidence judgment (second response)","","","-1","-1","","","","left","97.75","97.75","50","true","43","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","434","2643496","0.0-131.0","null","consolidated-trial-data","null","","","","","","","","","","","","","","","3","1","46","300","257","43","left","87.5","true","1776.2000000029802","1","yes","left","left","97.75","true","true","1629.199999988079","","","","","","",""
"","fixation","html-keyboard-response","435","2644888","0.0-132.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","436","2645405","0.0-132.0-1.0","null","[Dot display: left=257, right=300, diff=43]","null","","-1","-1","257","300","43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","437","2647152","0.0-132.0-2.0","1745.4000000059605","Confidence judgement (first response)","","","-1","-1","","","","right","88.75","50","88.75","true","42","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","forced_advice_display","html-button-response","438","2648063","0.0-132.0-4.0-0.0","909","forcedAdvice","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","show_advice","html-keyboard-response","439","2648865","0.0-132.0-4.0-1.0","null","[advice: right]","null","","-1","-1","","","","","","","","","","","right","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_second","html-keyboard-response","440","2652309","0.0-132.0-6.0","3442.2999999970198","Confidence judgment (second response)","","","-1","-1","","","","right","95.75","50","95.75","true","42","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","441","2652316","0.0-133.0","null","consolidated-trial-data","null","","","","","","","","","","","","","","","3","2","47","257","300","43","right","88.75","true","1745.4000000059605","2","yes","right","right","95.75","true","true","3442.2999999970198","","","","","","",""
"","fixation","html-keyboard-response","442","2653809","0.0-134.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","443","2654324","0.0-134.0-1.0","null","[Dot display: left=300, right=258, diff=42]","null","","-1","-1","300","258","42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","444","2655992","0.0-134.0-2.0","1667","Confidence judgement (first response)","","","-1","-1","","","","left","87.75","87.75","50","true","42","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","advice_choice","html-button-response","445","2657456","0.0-134.0-3.0-0.0","1463","[advice choice Y,N]","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","show_advice","html-keyboard-response","446","2658264","0.0-134.0-3.0-1.0-0.0","null","[advice: left]","null","","-1","-1","","","","","","","","","","","left","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_second","html-keyboard-response","447","2659863","0.0-134.0-6.0","1597.2000000029802","Confidence judgment (second response)","","","-1","-1","","","","left","98.25","98.25","50","true","42","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","448","2659866","0.0-135.0","null","consolidated-trial-data","null","","","","","","","","","","","","","","","3","3","48","300","258","42","left","87.75","true","1667","1","yes","left","left","98.25","true","true","1597.2000000029802","","","","","","",""
"","fixation","html-keyboard-response","449","2661308","0.0-136.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","450","2661826","0.0-136.0-1.0","null","[Dot display: left=258, right=300, diff=42]","null","","-1","-1","258","300","42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","451","2663269","0.0-136.0-2.0","1440.9000000059605","Confidence judgement (first response)","","","-1","-1","","","","right","81","50","81","true","42","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","forced_advice_display","html-button-response","452","2664187","0.0-136.0-4.0-0.0","918","forcedAdvice","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","show_advice","html-keyboard-response","453","2664990","0.0-136.0-4.0-1.0","null","[advice: right]","null","","-1","-1","","","","","","","","","","","right","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_second","html-keyboard-response","454","2666361","0.0-136.0-6.0","1370.1000000089407","Confidence judgment (second response)","","","-1","-1","","","","right","94.75","50","94.75","true","42","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","455","2666366","0.0-137.0","null","consolidated-trial-data","null","","","","","","","","","","","","","","","3","4","49","258","300","42","right","81","true","1440.9000000059605","2","yes","right","right","94.75","true","true","1370.1000000089407","","","","","","",""
"","fixation","html-keyboard-response","456","2667691","0.0-138.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","457","2668211","0.0-138.0-1.0","null","[Dot display: left=300, right=258, diff=42]","null","","-1","-1","300","258","42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","458","2669635","0.0-138.0-2.0","1422.0999999940395","Confidence judgement (first response)","","","-1","-1","","","","left","88.5","88.5","50","true","42","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","forced_advice_display","html-button-response","459","2670819","0.0-138.0-4.0-0.0","1184","forcedAdvice","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","show_advice","html-keyboard-response","460","2671622","0.0-138.0-4.0-1.0","null","[advice: left]","null","","-1","-1","","","","","","","","","","","left","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_second","html-keyboard-response","461","2672905","0.0-138.0-6.0","1280.7000000029802","Confidence judgment (second response)","","","-1","-1","","","","left","96.75","96.75","50","true","42","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","462","2672907","0.0-139.0","null","consolidated-trial-data","null","","","","","","","","","","","","","","","3","5","50","300","258","42","left","88.5","true","1422.0999999940395","2","yes","left","left","96.75","true","true","1280.7000000029802","","","","","","",""
"","fixation","html-keyboard-response","463","2674340","0.0-140.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","464","2674847","0.0-140.0-1.0","null","[Dot display: left=258, right=300, diff=42]","null","","-1","-1","258","300","42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","465","2676491","0.0-140.0-2.0","1641.199999988079","Confidence judgement (first response)","","","-1","-1","","","","right","81","50","81","true","41","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","no_advice_display","html-button-response","466","2677394","0.0-140.0-5.0-0.0","901","noAdvice","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","blank_screen","html-keyboard-response","467","2678209","0.0-140.0-5.0-1.0","null","blank","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_second","html-keyboard-response","468","2679353","0.0-140.0-6.0","1141.7999999970198","Confidence judgment (second response)","","","-1","-1","","","","right","81","50","81","true","41","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","469","2679367","0.0-141.0","null","consolidated-trial-data","null","","","","","","","","","","","","","","","3","6","51","258","300","42","right","81","true","1641.199999988079","3","yes","left","right","81","false","true","1141.7999999970198","","","","","","",""
"","fixation","html-keyboard-response","470","2680810","0.0-142.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","471","2681324","0.0-142.0-1.0","null","[Dot display: left=259, right=300, diff=41]","null","","-1","-1","259","300","41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","472","2682826","0.0-142.0-2.0","1499.5","Confidence judgement (first response)","","","-1","-1","","","","left","81.75","81.75","50","false","42","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","advice_choice","html-button-response","473","2683755","0.0-142.0-3.0-0.0","928","[advice choice Y,N]","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","show_advice","html-keyboard-response","474","2684567","0.0-142.0-3.0-1.0-0.0","null","[advice: left]","null","","-1","-1","","","","","","","","","","","left","","","","","","","","","","","","","","","","","","","","","","","","",""
