"success","task","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","pixels_per_unit","itrial","iblock","leftDots","rightDots","difference","selected_side","confidence_value","left_confidence","right_confidence","correct","threshold","block_num","block","trial","trialid","dotsLeft","dotsRight","dotsDiff","selectedSide_first","confidence_first","correct_1","rt_1","adviceCond","adviceChoice","adviceDir","selectedSide_second","confidence_second","adviceCorrect","correct_2","rt_2","advice_direction","attention_check_correct","target_button","top_prompt","bottom_prompt","top_response","bottom_response","question_order"
"","numerosity","html-keyboard-response","284","719191","0.0-90.0-1.0","null","[Dot display: left=258, right=300, diff=42]","null","","-1","-1","258","300","42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","285","721756","0.0-90.0-2.0","2561","Confidence judgement (first response)","","","-1","-1","","","","left","73.75","73.75","50","false","43","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","advice_choice","html-button-response","286","722570","0.0-90.0-3.0-0.0","812","[advice choice Y,N]","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","show_advice","html-keyboard-response","287","723373","0.0-90.0-3.0-1.0-0.0","null","[advice: right]","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","right","","","","","","",""
"","confidence_second","html-keyboard-response","288","725672","0.0-90.0-6.0","2294","Confidence judgment (second response)","","","-1","-1","","","","right","87.75","50","87.75","true","43","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","289","725675","0.0-91.0","null","consolidated-trial-data","null","","","","","","","","","","","","","","1","10","25","258","300","42","left","73.75","false","2561","1","yes","right","right","87.75","true","true","2294","","","","","","","",""
"","attncheck","html-button-response","290","727289","0.0-92.0","1611","attncheck","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","Next","","","","",""
"","fixation","html-keyboard-response","291","728714","0.0-93.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","292","729230","0.0-93.0-1.0","null","[Dot display: left=300, right=257, diff=43]","null","","-1","-1","300","257","43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","293","730903","0.0-93.0-2.0","1669.0000000001164","Confidence judgement (first response)","","","-1","-1","","","","right","88","50","88","false","45","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","no_advice_display","html-button-response","294","731937","0.0-93.0-5.0-0.0","1032","noAdvice","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","blank_screen","html-keyboard-response","295","732740","0.0-93.0-5.0-1.0","null","blank","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_second","html-keyboard-response","296","733921","0.0-93.0-6.0","1177","Confidence judgment (second response)","","","-1","-1","","","","right","88","50","88","false","45","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","297","733924","0.0-94.0","null","consolidated-trial-data","null","","","","","","","","","","","","","","1","11","26","300","257","43","right","88","false","1669.0000000001164","3","yes","right","right","88","false","false","1177","","","","","","","",""
"","fixation","html-keyboard-response","298","735331","0.0-95.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","299","735848","0.0-95.0-1.0","null","[Dot display: left=300, right=255, diff=45]","null","","-1","-1","300","255","45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","300","737157","0.0-95.0-2.0","1305","Confidence judgement (first response)","","","-1","-1","","","","right","80.75","50","80.75","false","47","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","forced_advice_display","html-button-response","301","738158","0.0-95.0-4.0-0.0","999","forcedAdvice","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","show_advice","html-keyboard-response","302","738961","0.0-95.0-4.0-1.0","null","[advice: left]","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","left","","","","","","",""
"","confidence_second","html-keyboard-response","303","741589","0.0-95.0-6.0","2622.9999999998836","Confidence judgment (second response)","","","-1","-1","","","","left","79","79","50","true","47","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","304","741592","0.0-96.0","null","consolidated-trial-data","null","","","","","","","","","","","","","","1","12","27","300","255","45","right","80.75","false","1305","2","yes","left","left","79","true","true","2622.9999999998836","","","","","","","",""
"","fixation","html-keyboard-response","305","742811","0.0-97.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","306","743328","0.0-97.0-1.0","null","[Dot display: left=253, right=300, diff=47]","null","","-1","-1","253","300","47","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","307","745158","0.0-97.0-2.0","1825","Confidence judgement (first response)","","","-1","-1","","","","right","99.25","50","99.25","true","46","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","no_advice_display","html-button-response","308","745889","0.0-97.0-5.0-0.0","729","noAdvice","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","blank_screen","html-keyboard-response","309","746691","0.0-97.0-5.0-1.0","null","blank","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_second","html-keyboard-response","310","748123","0.0-97.0-6.0","1428","Confidence judgment (second response)","","","-1","-1","","","","right","99.25","50","99.25","true","46","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","311","748126","0.0-98.0","null","consolidated-trial-data","null","","","","","","","","","","","","","","1","13","28","253","300","47","right","99.25","true","1825","3","yes","left","right","99.25","false","true","1428","","","","","","","",""
"","fixation","html-keyboard-response","312","749393","0.0-99.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","313","749914","0.0-99.0-1.0","null","[Dot display: left=300, right=254, diff=46]","null","","-1","-1","300","254","46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","314","752058","0.0-99.0-2.0","2140","Confidence judgement (first response)","","","-1","-1","","","","left","99.25","99.25","50","true","46","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","forced_advice_display","html-button-response","315","753088","0.0-99.0-4.0-0.0","1028","forcedAdvice","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","show_advice","html-keyboard-response","316","753892","0.0-99.0-4.0-1.0","null","[advice: left]","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","left","","","","","","",""
"","confidence_second","html-keyboard-response","317","754657","0.0-99.0-6.0","762.0000000001164","Confidence judgment (second response)","","","-1","-1","","","","left","99.25","99.25","50","true","46","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","318","754661","0.0-100.0","null","consolidated-trial-data","null","","","","","","","","","","","","","","1","14","29","300","254","46","left","99.25","true","2140","2","yes","left","left","99.25","true","true","762.0000000001164","","","","","","","",""
"","block_message","html-button-response","319","756241","0.0-101.0","1577","block message","0","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","html-keyboard-response","320","757457","0.0-102.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","321","757978","0.0-102.0-1.0","null","[Dot display: left=254, right=300, diff=46]","null","","-1","-1","254","300","46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","322","761259","0.0-102.0-2.0","3276","Confidence judgement (first response)","","","-1","-1","","","","left","88.5","88.5","50","false","48","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","no_advice_display","html-button-response","323","762055","0.0-102.0-5.0-0.0","793","noAdvice","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","blank_screen","html-keyboard-response","324","762857","0.0-102.0-5.0-1.0","null","blank","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_second","html-keyboard-response","325","764008","0.0-102.0-6.0","1147","Confidence judgment (second response)","","","-1","-1","","","","left","88.5","88.5","50","false","48","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","326","764012","0.0-103.0","null","consolidated-trial-data","null","","","","","","","","","","","","","","2","0","30","254","300","46","left","88.5","false","3276","3","yes","left","left","88.5","false","false","1147","","","","","","","",""
"","fixation","html-keyboard-response","327","765341","0.0-104.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","328","765858","0.0-104.0-1.0","null","[Dot display: left=252, right=300, diff=48]","null","","-1","-1","252","300","48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","329","767342","0.0-104.0-2.0","1480","Confidence judgement (first response)","","","-1","-1","","","","right","88.75","50","88.75","true","47","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","advice_choice","html-button-response","330","768290","0.0-104.0-3.0-0.0","946","[advice choice Y,N]","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","show_advice","html-keyboard-response","331","769093","0.0-104.0-3.0-1.0-0.0","null","[advice: right]","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","right","","","","","","",""
"","confidence_second","html-keyboard-response","332","770592","0.0-104.0-6.0","1494","Confidence judgment (second response)","","","-1","-1","","","","right","88.75","50","88.75","true","47","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","333","770595","0.0-105.0","null","consolidated-trial-data","null","","","","","","","","","","","","","","2","1","31","252","300","48","right","88.75","true","1480","1","yes","right","right","88.75","true","true","1494","","","","","","","",""
"","fixation","html-keyboard-response","334","771916","0.0-106.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","335","772434","0.0-106.0-1.0","null","[Dot display: left=300, right=253, diff=47]","null","","-1","-1","300","253","47","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","336","775160","0.0-106.0-2.0","2721","Confidence judgement (first response)","","","-1","-1","","","","left","96.75","96.75","50","true","47","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","forced_advice_display","html-button-response","337","776029","0.0-106.0-4.0-0.0","866","forcedAdvice","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","show_advice","html-keyboard-response","338","776833","0.0-106.0-4.0-1.0","null","[advice: left]","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","left","","","","","","",""
"","confidence_second","html-keyboard-response","339","778742","0.0-106.0-6.0","1905","Confidence judgment (second response)","","","-1","-1","","","","left","96.75","96.75","50","true","47","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","340","778745","0.0-107.0","null","consolidated-trial-data","null","","","","","","","","","","","","","","2","2","32","300","253","47","left","96.75","true","2721","2","yes","left","left","96.75","true","true","1905","","","","","","","",""
"","fixation","html-keyboard-response","341","780071","0.0-108.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","342","780588","0.0-108.0-1.0","null","[Dot display: left=253, right=300, diff=47]","null","","-1","-1","253","300","47","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","343","782142","0.0-108.0-2.0","1550","Confidence judgement (first response)","","","-1","-1","","","","right","98","50","98","true","46","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","advice_choice","html-button-response","344","783012","0.0-108.0-3.0-0.0","867","[advice choice Y,N]","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","show_advice","html-keyboard-response","345","783815","0.0-108.0-3.0-1.0-0.0","null","[advice: right]","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","right","","","","","","",""
"","confidence_second","html-keyboard-response","346","785097","0.0-108.0-6.0","1278","Confidence judgment (second response)","","","-1","-1","","","","right","98","50","98","true","46","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","347","785100","0.0-109.0","null","consolidated-trial-data","null","","","","","","","","","","","","","","2","3","33","253","300","47","right","98","true","1550","1","yes","right","right","98","true","true","1278","","","","","","","",""
"","attncheck","html-button-response","348","786659","0.0-110.0","1557","attncheck","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","Next","","","","",""
"","fixation","html-keyboard-response","349","787922","0.0-111.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","350","788438","0.0-111.0-1.0","null","[Dot display: left=254, right=300, diff=46]","null","","-1","-1","254","300","46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","351","789794","0.0-111.0-2.0","1351","Confidence judgement (first response)","","","-1","-1","","","","right","83.75","50","83.75","true","46","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","forced_advice_display","html-button-response","352","790376","0.0-111.0-4.0-0.0","580","forcedAdvice","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","show_advice","html-keyboard-response","353","791180","0.0-111.0-4.0-1.0","null","[advice: left]","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","left","","","","","","",""
"","confidence_second","html-keyboard-response","354","793649","0.0-111.0-6.0","2464","Confidence judgment (second response)","","","-1","-1","","","","left","51","51","50","false","46","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","355","793652","0.0-112.0","null","consolidated-trial-data","null","","","","","","","","","","","","","","2","4","34","254","300","46","right","83.75","true","1351","2","yes","left","left","51","false","false","2464","","","","","","","",""
"","fixation","html-keyboard-response","356","794959","0.0-113.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","357","795476","0.0-113.0-1.0","null","[Dot display: left=254, right=300, diff=46]","null","","-1","-1","254","300","46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","358","796736","0.0-113.0-2.0","1255.9999999998836","Confidence judgement (first response)","","","-1","-1","","","","right","81.25","50","81.25","true","46","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","advice_choice","html-button-response","359","797607","0.0-113.0-3.0-0.0","868","[advice choice Y,N]","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","show_advice","html-keyboard-response","360","798410","0.0-113.0-3.0-1.0-0.0","null","[advice: left]","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","left","","","","","","",""
"","confidence_second","html-keyboard-response","361","799854","0.0-113.0-6.0","1441.0000000001164","Confidence judgment (second response)","","","-1","-1","","","","left","78.75","78.75","50","false","46","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","362","799857","0.0-114.0","null","consolidated-trial-data","null","","","","","","","","","","","","","","2","5","35","254","300","46","right","81.25","true","1255.9999999998836","1","yes","left","left","78.75","false","false","1441.0000000001164","","","","","","","",""
"","fixation","html-keyboard-response","363","801125","0.0-115.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","364","801643","0.0-115.0-1.0","null","[Dot display: left=254, right=300, diff=46]","null","","-1","-1","254","300","46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","365","803419","0.0-115.0-2.0","1773","Confidence judgement (first response)","","","-1","-1","","","","right","88","50","88","true","45","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","no_advice_display","html-button-response","366","804056","0.0-115.0-5.0-0.0","636","noAdvice","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","blank_screen","html-keyboard-response","367","804859","0.0-115.0-5.0-1.0","null","blank","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_second","html-keyboard-response","368","806723","0.0-115.0-6.0","1859","Confidence judgment (second response)","","","-1","-1","","","","right","88","50","88","true","45","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","369","806727","0.0-116.0","null","consolidated-trial-data","null","","","","","","","","","","","","","","2","6","36","254","300","46","right","88","true","1773","3","yes","left","right","88","false","true","1859","","","","","","","",""
"","fixation","html-keyboard-response","370","808117","0.0-117.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","371","808633","0.0-117.0-1.0","null","[Dot display: left=255, right=300, diff=45]","null","","-1","-1","255","300","45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","372","810108","0.0-117.0-2.0","1470","Confidence judgement (first response)","","","-1","-1","","","","right","90","50","90","true","45","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","forced_advice_display","html-button-response","373","810723","0.0-117.0-4.0-0.0","613","forcedAdvice","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","show_advice","html-keyboard-response","374","811527","0.0-117.0-4.0-1.0","null","[advice: right]","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","right","","","","","","",""
"","confidence_second","html-keyboard-response","375","812507","0.0-117.0-6.0","975","Confidence judgment (second response)","","","-1","-1","","","","right","90","50","90","true","45","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","376","812510","0.0-118.0","null","consolidated-trial-data","null","","","","","","","","","","","","","","2","7","37","255","300","45","right","90","true","1470","2","yes","right","right","90","true","true","975","","","","","","","",""
"","fixation","html-keyboard-response","377","813866","0.0-119.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","378","814384","0.0-119.0-1.0","null","[Dot display: left=255, right=300, diff=45]","null","","-1","-1","255","300","45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","379","816509","0.0-119.0-2.0","2117","Confidence judgement (first response)","","","-1","-1","","","","right","88","50","88","true","45","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","advice_choice","html-button-response","380","817524","0.0-119.0-3.0-0.0","1012","[advice choice Y,N]","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","show_advice","html-keyboard-response","381","818328","0.0-119.0-3.0-1.0-0.0","null","[advice: left]","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","left","","","","","","",""
"","confidence_second","html-keyboard-response","382","820158","0.0-119.0-6.0","1825.0000000001164","Confidence judgment (second response)","","","-1","-1","","","","left","54.75","54.75","50","false","45","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","383","820162","0.0-120.0","null","consolidated-trial-data","null","","","","","","","","","","","","","","2","8","38","255","300","45","right","88","true","2117","1","yes","left","left","54.75","false","false","1825.0000000001164","","","","","","","",""
"","fixation","html-keyboard-response","384","821603","0.0-121.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","385","822122","0.0-121.0-1.0","null","[Dot display: left=255, right=300, diff=45]","null","","-1","-1","255","300","45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","386","823879","0.0-121.0-2.0","1752","Confidence judgement (first response)","","","-1","-1","","","","right","98.5","50","98.5","true","44","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","no_advice_display","html-button-response","387","824641","0.0-121.0-5.0-0.0","758","noAdvice","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","blank_screen","html-keyboard-response","388","825443","0.0-121.0-5.0-1.0","null","blank","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_second","html-keyboard-response","389","826842","0.0-121.0-6.0","1395","Confidence judgment (second response)","","","-1","-1","","","","right","98.5","50","98.5","true","44","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","390","826846","0.0-122.0","null","consolidated-trial-data","null","","","","","","","","","","","","","","2","9","39","255","300","45","right","98.5","true","1752","3","yes","left","right","98.5","false","true","1395","","","","","","","",""
"","fixation","html-keyboard-response","391","828106","0.0-123.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","392","828623","0.0-123.0-1.0","null","[Dot display: left=300, right=256, diff=44]","null","","-1","-1","300","256","44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","393","830097","0.0-123.0-2.0","1470","Confidence judgement (first response)","","","-1","-1","","","","left","93","93","50","true","44","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","advice_choice","html-button-response","394","830795","0.0-123.0-3.0-0.0","696","[advice choice Y,N]","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","show_advice","html-keyboard-response","395","831599","0.0-123.0-3.0-1.0-0.0","null","[advice: left]","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","left","","","","","","",""
"","confidence_second","html-keyboard-response","396","832283","0.0-123.0-6.0","679.0000000001164","Confidence judgment (second response)","","","-1","-1","","","","left","93","93","50","true","44","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","397","832286","0.0-124.0","null","consolidated-trial-data","null","","","","","","","","","","","","","","2","10","40","300","256","44","left","93","true","1470","1","yes","left","left","93","true","true","679.0000000001164","","","","","","","",""
"","fixation","html-keyboard-response","398","833559","0.0-125.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","399","834076","0.0-125.0-1.0","null","[Dot display: left=256, right=300, diff=44]","null","","-1","-1","256","300","44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","400","835364","0.0-125.0-2.0","1284","Confidence judgement (first response)","","","-1","-1","","","","right","92.5","50","92.5","true","44","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","no_advice_display","html-button-response","401","836829","0.0-125.0-5.0-0.0","1462","noAdvice","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","blank_screen","html-keyboard-response","402","837632","0.0-125.0-5.0-1.0","null","blank","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_second","html-keyboard-response","403","839134","0.0-125.0-6.0","1498.0000000001164","Confidence judgment (second response)","","","-1","-1","","","","right","92.5","50","92.5","true","44","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","404","839137","0.0-126.0","null","consolidated-trial-data","null","","","","","","","","","","","","","","2","11","41","256","300","44","right","92.5","true","1284","3","yes","left","right","92.5","false","true","1498.0000000001164","","","","","","","",""
"","fixation","html-keyboard-response","405","840582","0.0-127.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","406","841098","0.0-127.0-1.0","null","[Dot display: left=256, right=300, diff=44]","null","","-1","-1","256","300","44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","407","842397","0.0-127.0-2.0","1295","Confidence judgement (first response)","","","-1","-1","","","","right","87.5","50","87.5","true","43","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","forced_advice_display","html-button-response","408","842980","0.0-127.0-4.0-0.0","580","forcedAdvice","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","show_advice","html-keyboard-response","409","843783","0.0-127.0-4.0-1.0","null","[advice: right]","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","right","","","","","","",""
"","confidence_second","html-keyboard-response","410","845147","0.0-127.0-6.0","1358.9999999998836","Confidence judgment (second response)","","","-1","-1","","","","right","87.5","50","87.5","true","43","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","411","845151","0.0-128.0","null","consolidated-trial-data","null","","","","","","","","","","","","","","2","12","42","256","300","44","right","87.5","true","1295","2","yes","right","right","87.5","true","true","1358.9999999998836","","","","","","","",""
"","fixation","html-keyboard-response","412","846565","0.0-129.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","413","847084","0.0-129.0-1.0","null","[Dot display: left=257, right=300, diff=43]","null","","-1","-1","257","300","43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","414","848465","0.0-129.0-2.0","1376","Confidence judgement (first response)","","","-1","-1","","","","left","82.5","82.5","50","false","45","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","no_advice_display","html-button-response","415","849296","0.0-129.0-5.0-0.0","828","noAdvice","0","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","blank_screen","html-keyboard-response","416","850098","0.0-129.0-5.0-1.0","null","blank","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_second","html-keyboard-response","417","851313","0.0-129.0-6.0","1210","Confidence judgment (second response)","","","-1","-1","","","","left","82.5","82.5","50","false","45","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consolidated-trial-data","consolidated-trial-data","418","851316","0.0-130.0","null","consolidated-trial-data","null","","","","","","","","","","","","","","2","13","43","257","300","43","left","82.5","false","1376","3","yes","right","left","82.5","true","false","1210","","","","","","","",""
"","fixation","html-keyboard-response","419","852750","0.0-131.0-0.0","null","fixation","null","","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","numerosity","html-keyboard-response","420","853267","0.0-131.0-1.0","null","[Dot display: left=255, right=300, diff=45]","null","","-1","-1","255","300","45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence_first","html-keyboard-response","421","855130","0.0-131.0-2.0","1859","Confidence judgement (first response)","","","-1","-1","","","","right","99.75","50","99.75","true","44","","","","","","","","","","","","","","","","","","","","","","","","","","",""
